States,2021,2022,2023,2024,Total
NSW,630,"3,733","1,567",76,"6,069"
VIC,706,"2,986","1,184",54,"5,735"
QLD,3,"1,691",766,24,"2,488"
SA,3,845,371,9,"1,232"
WA,0,639,441,19,"1,110"
Tas,0,200,117,6,340
NT,1,52,15,1,69
ACT,12,155,64,0,233
Aus,"1,355","10,301","4,525",189,"17,276"
