Country or region,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,,,,
Italy,"7,191","91,012","2,322,239","4,741,027","10,817,762","20,769,010","35,931,813","53,317,804","69,215,069","78,746,887","85,219,963","90,294,754","97,205,112","111,812,825","129,627,807","134,369,219","136,075,785","136,942,462","137,936,985","138,416,366","139,821,037","140,486,720","140,910,751","142,203,858","143,367,431","144,061,766","144,453,404","144,542,383","144,579,860","144,592,517","144,601,273","144,604,721","144,605,891",,,,
Japan,125,125,125,"34,772","1,050,112","4,311,837","17,774,707","56,101,083","100,878,109","138,683,094","170,953,364","194,111,595","199,711,835","201,972,748","209,958,655","233,906,360","260,413,405","274,363,088","281,738,094","285,939,503","301,556,356","318,618,300","325,673,927","333,357,001","352,753,428","373,168,887","380,375,919","382,462,819","383,439,074","383,735,450","383,747,738","383,747,738","383,747,738",,,,
Latvia,1,"2,345","28,898","67,926","146,914","328,940","786,103","1,144,851","1,322,589","1,487,879","1,646,214","1,984,776","2,287,162","2,556,925","2,801,517","2,855,654","2,876,872","2,885,594","2,891,725","2,894,763","2,895,716","2,895,716","2,895,716",,,,,,,,,,,,,,
Lithuania,"2,417","9,756","108,536","257,900","540,975","1,006,591","1,646,300","2,283,341","2,586,258","3,024,876","3,235,890","3,397,044","3,723,822","4,131,975","4,424,961","4,452,560","4,468,558","4,479,456","4,486,265","4,489,113","4,493,368","4,498,182","4,502,547","4,517,897","4,534,106","4,540,009","4,543,425","4,544,540","4,545,386","4,545,783","4,545,981","4,546,061","4,546,106",,,,
Luxembourg,452,"1,251","15,414","40,478","99,386","200,668","356,478","569,364","714,996","765,140","791,489","835,385","920,516","1,076,508","1,239,664","1,271,114","1,281,984","1,287,641","1,298,800","1,304,972","1,330,009","1,342,889","1,348,740","1,360,174","1,367,495","1,371,237","1,373,527","1,374,253","1,374,547","1,374,547","1,374,547",,,,,,
Mexico,"2,924","43,960","686,601","2,583,435","8,644,446","18,326,726","30,990,908","46,945,511","67,355,342","85,845,792","101,782,415","126,522,110","132,840,902","148,943,207","167,682,458","182,472,333","191,907,868","201,861,103","208,630,697","209,673,612","209,673,612","209,673,612","223,158,993","223,158,993","223,158,993","223,158,993",,,,,,,,,,,
Netherlands,"34,675","34,675","479,103","1,395,532","2,462,297","4,909,804","9,632,990","15,387,649","19,505,334","21,753,046","22,250,421","22,779,291","23,642,694","28,006,524","31,962,000","32,303,688","33,507,858","34,379,937","34,697,708","35,018,552","35,464,396","35,555,180","36,269,802","38,918,660","39,402,007","39,558,523","39,705,307","39,741,175","39,752,774","39,757,897","39,760,002","39,761,642","39,762,726",,,,
New Zealand,1,1,1,"9,615","80,213","281,409","672,053","1,218,990","1,947,684","3,698,168","5,275,992","6,931,770","7,623,437","8,189,843","9,611,529","10,673,116","10,975,409","11,047,897","11,090,961","11,157,551","11,501,166","11,702,165","11,776,022","11,843,309","11,907,038","11,956,401","11,978,147","11,986,267","12,013,176","12,346,898","12,346,898","12,346,898",,,,,
Norway,0,"2,467","178,010","536,418","1,020,148","1,801,676","2,759,619","4,422,490","5,458,905","7,195,725","7,890,320","8,089,487","8,776,697","9,789,574","11,120,427","11,272,850","11,314,482","11,338,102","11,380,036","11,418,387","11,521,691","11,773,058","11,989,222","12,111,359","12,145,560","12,145,560","12,145,560",,,,,,,,,,
Portugal,"5,199","5,199","447,164","1,124,639","1,993,626","3,610,385","6,514,851","9,452,074","12,589,801","15,400,338","16,325,898","16,927,812","18,395,674","20,043,506","22,959,187","23,746,072","23,906,912","24,016,353","24,450,976","24,851,510","24,995,812","25,046,557","25,723,947","26,888,053","27,676,707","28,058,542","28,169,209","28,213,885","28,232,794","28,240,289","28,244,030","28,245,679","28,246,942",,,,
Slovakia,"30,160","30,160","217,224","546,223","1,156,822","1,831,946","2,812,249","3,952,349","4,379,083","4,655,468","4,784,375","5,000,849","5,000,849","5,187,219","5,666,929","5,710,247","5,734,651","5,742,599","5,748,150","5,751,090","5,754,313","5,754,313","5,754,313",,,,,,,,,,,,,,
Slovenia,"6,199","12,045","88,979","182,239","394,630","650,057","1,082,353","1,511,840","1,701,333","1,866,472","2,088,814","2,218,999","2,545,357","2,762,076","2,928,576","2,963,978","2,979,192","2,988,419","2,994,024","2,996,534","2,996,643","2,996,643","2,996,643",,,,,,,,,,,,,,
South Korea,"50,357","50,357","50,357","122,214","999,498","3,757,936","8,753,045","19,786,359","25,842,962","45,610,898","65,110,220","79,214,197","85,935,557","104,021,841","115,015,673","119,449,189","121,140,365","123,550,345","125,684,117","126,055,898","127,531,264","129,079,228","129,355,315","129,514,774","129,627,796","129,647,782","129,647,782","129,647,782",,,,,,,,,
Spain,"82,834","82,834","1,865,342","4,059,320","8,342,155","17,178,566","27,607,247","42,792,983","56,795,869","66,788,317","70,153,507","72,233,182","76,899,564","84,250,146","90,715,372","92,726,740","94,130,810","94,485,122","94,815,730","95,245,599","95,548,924","95,676,798","95,783,126","99,955,993","103,005,173","104,301,730","105,253,468","105,522,606","105,733,320","105,799,888","105,840,320","105,840,320","105,840,320",,,,
Sweden,"2,478","2,478","341,322","872,614","1,925,792","3,592,072","5,420,100","8,837,474","10,792,763","13,046,186","13,912,506","14,670,059","15,947,914","17,797,079","19,911,499","20,575,445","21,232,373","22,064,889","22,598,496","22,736,876","22,830,565","23,082,059","24,294,763","24,929,603","25,288,835","25,543,848","25,649,375","25,673,731","25,963,806","26,107,964","26,197,212","26,216,565","26,222,991",,,,
Switzerland,1,"6,397","375,883","869,256","1,610,156","2,867,497","5,121,833","7,699,152","9,025,456","9,707,692","10,511,080","11,132,448","12,033,045","13,853,484","15,374,923","15,579,002","15,652,238","15,690,552","15,731,309","15,776,247","15,896,468","15,986,728","16,021,743","16,434,003","16,762,039","16,877,378","16,918,937","16,930,622","16,936,907","16,938,809","16,940,048","16,940,716","16,940,716",,,,
Turkey,0,0,"2,343,280","9,073,640","16,148,683","22,899,046","29,375,685","52,104,718","73,493,059","95,565,306","109,925,744","116,663,497","120,516,813","132,215,015","142,522,697","145,801,884","147,070,173","147,501,398","147,734,958","147,834,278","150,781,180","152,050,973","152,317,553","152,475,057","152,543,341","152,543,341","152,543,341",,,,,,,,,,
United Kingdom,"2,677,971","2,677,971","10,992,444","21,599,027","36,277,136","49,834,997","65,658,949","78,555,851","85,277,829","91,314,745","94,859,905","104,477,012","116,467,922","133,477,149","138,377,561","139,973,288","142,569,737","146,253,183","148,624,868","149,868,716","150,732,196","151,227,151","151,248,820","151,248,820","151,248,820",,,,,,,,,,,,
United States,"45,620","6,123,124","43,351,693","92,805,077","177,076,502","265,082,725","315,286,109","340,758,805","356,377,861","382,283,529","404,555,441","435,706,739","477,370,837","522,418,645","552,239,065","562,278,498","569,538,505","582,501,777","593,693,735","600,665,121","608,490,580","613,477,812","627,301,508","647,024,640","659,277,438","667,086,190","671,312,243","673,110,198","674,708,566","676,292,617","676,728,782","676,728,782","676,728,782",,,,
