States,2021,2022,2023,2024
NSW,7469406,13758731,20015383,22000000
VIC,5330721,11340028,16799543,18500000
QLD,3667531,8269435,12175475,13300000
SA,1330093,2893768,4498728,5000000
WA,1870753,4120530,7026840,7600000
TAS,475347,940782,1466816,1700000
NT,220682,421788,624810,654100
ACT,490820,1041938,1941889,2300000
